image_name,target
ISIC_0052060,0.007975464
ISIC_0052349,0.0026297874
ISIC_0058510,0.0021816147
ISIC_0073313,0.0017303152
ISIC_0073502,0.05873295
ISIC_0074618,0.011902459
ISIC_0076801,0.008481661
ISIC_0077586,0.5021223
ISIC_0082004,0.58278716
ISIC_0082785,0.0064829206
ISIC_0085332,0.0038226184
ISIC_0087243,0.0035101103
ISIC_0088167,0.5304689
ISIC_0089356,0.0014800922
ISIC_0090283,0.466388
ISIC_0092481,0.0025312353
ISIC_0095455,0.0016707019
ISIC_0095790,0.0033202025
ISIC_0097719,1.0
ISIC_0099348,0.99999976
ISIC_0101040,0.01376828
ISIC_0101383,0.00032961555
ISIC_0105104,0.018950272
ISIC_0108196,0.007689871
ISIC_0112420,1.0
ISIC_0114232,0.0014953334
ISIC_0115798,0.0023245953
ISIC_0116844,0.0015280122
ISIC_0126432,0.004592414
ISIC_0131485,0.002029625
ISIC_0131912,0.002089182
ISIC_0131978,0.0016121608
ISIC_0139322,0.0024885742
ISIC_0142066,0.3062999
ISIC_0143109,0.0144983595
ISIC_0148210,0.00013522364
ISIC_0148937,0.0005022242
ISIC_0150213,0.0029948712
ISIC_0152553,0.0031054062
ISIC_0153127,0.0043507954
ISIC_0154289,0.0015294665
ISIC_0155813,1.0
ISIC_0155983,0.04694588
ISIC_0157088,0.0063058226
ISIC_0158761,0.0059360806
ISIC_0161963,0.99087465
ISIC_0165178,0.0003437133
ISIC_0165230,0.002643925
ISIC_0165615,0.0022443829
ISIC_0165617,0.9991844
ISIC_0165674,0.0016427133
ISIC_0165928,0.041457023
ISIC_0166561,0.0022771182
ISIC_0168125,0.00078800606
ISIC_0169378,0.09171079
ISIC_0169575,0.00057020347
ISIC_0169906,0.94909376
ISIC_0171865,0.9999995
ISIC_0172678,0.0023429184
ISIC_0174800,0.0013952571
ISIC_0175014,0.00028516646
ISIC_0175798,1.0
ISIC_0176152,0.953357
ISIC_0177083,0.0019564424
ISIC_0178235,0.8125461
ISIC_0178258,0.0009245076
ISIC_0178428,0.99999344
ISIC_0178741,0.99936825
ISIC_0180057,0.00032954957
ISIC_0182213,0.99999964
ISIC_0183334,0.0018071919
ISIC_0183449,1.0
ISIC_0183658,0.003967072
ISIC_0183771,0.0014114884
ISIC_0186715,0.99999464
ISIC_0187786,0.0017069954
ISIC_0188485,0.00030362056
ISIC_0191895,0.0050607254
ISIC_0192184,0.005396143
ISIC_0192807,0.0031439192
ISIC_0193289,0.23380692
ISIC_0194115,0.0030415328
ISIC_0195744,0.024963437
ISIC_0195995,0.0055760876
ISIC_0196159,0.0008457477
ISIC_0196622,0.006172419
ISIC_0196807,0.87275994
ISIC_0197182,0.75806856
ISIC_0197440,0.0016067207
ISIC_0197860,0.00015532783
ISIC_0198376,0.003030502
ISIC_0198622,0.0015293924
ISIC_0199195,0.0003015668
ISIC_0199718,0.0026683589
ISIC_0199780,0.0020016504
ISIC_0200120,0.26492763
ISIC_0204399,0.0032038293
ISIC_0204875,0.0022230516
ISIC_0205627,0.0042119347
ISIC_0206261,0.0006664914
ISIC_0206934,0.003036015
ISIC_0207197,0.00031849561
ISIC_0208233,0.04503255
ISIC_0209640,0.0024876818
ISIC_0210915,0.0015645921
ISIC_0212435,0.0018702176
ISIC_0212468,0.0014427031
ISIC_0213848,0.0037043514
ISIC_0216203,0.00015977856
ISIC_0216447,0.9869459
ISIC_0220438,0.98037845
ISIC_0220466,0.010140161
