image_name,target
ISIC_0052060,0.0013071077
ISIC_0052349,0.00017081249
ISIC_0058510,0.0005665271
ISIC_0073313,0.00064198114
ISIC_0073502,0.58523625
ISIC_0074618,0.0031675806
ISIC_0076801,0.00022481772
ISIC_0077586,0.14057727
ISIC_0082004,0.011795316
ISIC_0082785,0.0003764471
ISIC_0085332,0.001271617
ISIC_0087243,0.00023426421
ISIC_0088167,0.076253876
ISIC_0089356,0.006475952
ISIC_0090283,0.046738766
ISIC_0092481,0.00088702823
ISIC_0095455,0.00026923366
ISIC_0095790,0.00019037684
ISIC_0097719,0.7203719
ISIC_0099348,0.37484425
ISIC_0101040,0.0022203012
ISIC_0101383,0.000672092
ISIC_0105104,0.0530372
ISIC_0108196,0.00039759005
ISIC_0112420,0.72037166
ISIC_0114232,0.005251045
ISIC_0115798,0.013363564
ISIC_0116844,0.00039018408
ISIC_0126432,0.00019923972
ISIC_0131485,0.0003030072
ISIC_0131912,0.0009108203
ISIC_0131978,0.00023310987
ISIC_0139322,0.046771504
ISIC_0142066,0.617377
ISIC_0143109,0.020333793
ISIC_0148210,0.0007849431
ISIC_0148937,0.0036432445
ISIC_0150213,0.073441766
ISIC_0152553,0.0003767117
ISIC_0153127,0.0026267336
ISIC_0154289,0.00043944354
ISIC_0155813,0.7203762
ISIC_0155983,0.7203716
ISIC_0157088,0.004227097
ISIC_0158761,0.0007170837
ISIC_0161963,0.2813657
ISIC_0165178,0.42974505
ISIC_0165230,0.0049326434
ISIC_0165615,0.0010892552
ISIC_0165617,0.0003238552
ISIC_0165674,0.00011750971
ISIC_0165928,0.0011994644
ISIC_0166561,0.00022415632
ISIC_0168125,0.71927434
ISIC_0169378,6.29072e-05
ISIC_0169575,0.000867732
ISIC_0169906,0.6044283
ISIC_0171865,0.71836424
ISIC_0172678,0.00017011278
ISIC_0174800,0.00015486582
ISIC_0175014,0.00066151866
ISIC_0175798,0.7203716
ISIC_0176152,0.33913097
ISIC_0177083,0.0005496911
ISIC_0178235,0.7203715
ISIC_0178258,0.11176885
ISIC_0178428,0.0036837643
ISIC_0178741,0.0016408453
ISIC_0180057,0.00016121958
ISIC_0182213,0.7203718
ISIC_0183334,0.00039174984
ISIC_0183449,0.72037154
ISIC_0183658,0.00015022079
ISIC_0183771,0.01894601
ISIC_0186715,0.7096175
ISIC_0187786,0.0001773686
ISIC_0188485,0.0014992694
ISIC_0191895,0.0015075655
ISIC_0192184,0.006530844
ISIC_0192807,0.0013941241
ISIC_0193289,0.028931623
ISIC_0194115,0.00015874728
ISIC_0195744,0.0025413104
ISIC_0195995,0.000118106225
ISIC_0196159,0.64780927
ISIC_0196622,0.00018165608
ISIC_0196807,0.64375395
ISIC_0197182,0.0037834498
ISIC_0197440,0.006613291
